SA1,Area,Green Area,%
,,,#DIV/0!
,,,#DIV/0!
2112104,0.128,0.010180865,7.95%
2111736,0.029,0.002265239,7.81%
2112222,0.027,0.002097252,7.77%
2112223,0.027,0.002088712,7.74%
2112339,0.042,0.003236279,7.71%
2111729,0.017,0.001304271,7.67%
2112327,0.034,0.002604361,7.66%
2112206,0.199,0.01517955,7.63%
2112111,0.034,0.002562366,7.54%
2112328,0.064,0.004812894,7.52%
2112316,0.122,0.009172938,7.52%
2112334,0.115,0.008603302,7.48%
2112209,0.055,0.004100961,7.46%
2112603,0.045,0.003336411,7.41%
2112318,0.098,0.00725643,7.40%
2112212,0.165,0.012116877,7.34%
2111808,0.011,0.00079997,7.27%
2111815,0.086,0.00609657,7.09%
2111806,0.008,0.000566689,7.08%
2112308,0.11,0.007774057,7.07%
2112332,0.138,0.009733805,7.05%
2112230,0.055,0.003852665,7.00%
2112001,1.748,0.12162668,6.96%
2112248,0.135,0.009296261,6.89%
2112330,0.062,0.004193379,6.76%
2111734,0.025,0.001680722,6.72%
2112616,0.004,0.000263398,6.58%
2112229,0.055,0.003602186,6.55%
2112320,0.272,0.016787601,6.17%
2112246,0.039,0.002372191,6.08%
2112243,0.08,0.004844807,6.06%
2112317,0.247,0.014385778,5.82%
2112623,0.202,0.011764428,5.82%
2112630,0.003,0.000173157,5.77%
2111801,0.015,0.000851854,5.68%
2111735,0.018,0.001013089,5.63%
2112101,0.263,0.014613459,5.56%
2112329,0.125,0.006836743,5.47%
2111807,0.008,0.000431212,5.39%
2112634,0.043,0.002202172,5.12%
2112609,0.014,0.000707014,5.05%
2112625,0.01,0.00050265,5.03%
2111816,0.091,0.004521333,4.97%
2112245,0.015,0.000733454,4.89%
2111804,0.182,0.008713814,4.79%
2111802,0.025,0.001161088,4.64%
2112626,0.235,0.010341873,4.40%
2112628,0.004,0.000170015,4.25%
2111710,0.018,0.000741245,4.12%
2111805,0.013,0.000521154,4.01%
2112240,0.012,0.000458046,3.82%
2113102,5.201,0.198441609,3.82%
2112702,2.782,0.104948344,3.77%
2112219,0.055,0.002008115,3.65%
2112313,0.017,0.000595201,3.50%
2111809,0.476,0.016112006,3.38%
2111812,0.025,0.000838741,3.35%
2112619,0.043,0.001224879,2.85%
2111810,0.209,0.005782797,2.77%
2112238,0.031,0.000804853,2.60%
2112617,0.003,7.66E-05,2.55%
2112622,0.471,0.011899975,2.53%
2112247,0.016,0.000352996,2.21%
2111813,0.695,0.013678471,1.97%
2111811,0.292,0.005496911,1.88%
2111733,0.013,0.000237511,1.83%
2112615,0.003,2.94E-05,0.98%
2112701,3.561,0.026661805,0.75%
2111814,0.367,0.001261068,0.34%
2114458,0.081,0.000101748,0.13%
2110539,0.06,5.89E-05,0.10%
2110538,0.091,8.39E-05,0.09%
2113101,1.829,0.00054753,0.03%
2114012,0.109,2.94E-05,0.03%
2110722,0.129,3.09E-05,0.02%
2114011,0.076,1.73E-05,0.02%
2114206,0.088,1.77E-05,0.02%
2114104,0.205,3.39E-05,0.02%
2114215,0.093,1.51E-05,0.02%
2114103,0.181,1.31E-05,0.01%
2114010,0.077,5.29E-06,0.01%
2113229,0.955,3.36E-05,0.00%
2111518,0.12,1.31E-06,0.00%
2114207,0.062,6.26E-07,0.00%
2110522,0.114,2.86E-07,0.00%
2112632,0.007,2.10E-09,0.00%
2110501,0.042,0,0.00%
2110502,0.127,0,0.00%
2110503,0.064,0,0.00%
2110504,0.061,0,0.00%
2110505,0.07,0,0.00%
2110506,0.082,0,0.00%
2110507,0.099,0,0.00%
2110508,0.064,0,0.00%
2110509,0.095,0,0.00%
2110510,0.092,0,0.00%
2110512,0.067,0,0.00%
2110514,0.079,0,0.00%
2110515,0.074,0,0.00%
2110516,0.069,0,0.00%
2110517,0.081,0,0.00%
2110518,0.074,0,0.00%
2110519,0.088,0,0.00%
2110520,0.095,0,0.00%
2110521,0.097,0,0.00%
2110523,0.236,0,0.00%
2110524,0.088,0,0.00%
2110525,0.06,0,0.00%
2110526,0.088,0,0.00%
2110527,0.054,0,0.00%
2110528,0.076,0,0.00%
2110529,0.214,0,0.00%
2110530,0.093,0,0.00%
2110531,0.14,0,0.00%
2110532,0.046,0,0.00%
2110533,0.092,0,0.00%
2110534,0.105,0,0.00%
2110535,0.085,0,0.00%
2110536,0.061,0,0.00%
2110537,0.082,0,0.00%
2110540,0.102,0,0.00%
2110541,0.097,0,0.00%
2110542,0.098,0,0.00%
2110543,0.091,0,0.00%
2110545,0.277,0,0.00%
2110546,0.312,0,0.00%
2110547,0.044,0,0.00%
2110548,0.059,0,0.00%
2110549,0.074,0,0.00%
2110550,0.053,0,0.00%
2110551,0.035,0,0.00%
2110552,0.106,0,0.00%
2110553,0.068,0,0.00%
2110554,0.123,0,0.00%
2110555,0.057,0,0.00%
2110556,0.079,0,0.00%
2110557,0.15,0,0.00%
2110558,0.085,0,0.00%
2110559,0.046,0,0.00%
2110601,0.184,0,0.00%
2110602,0.161,0,0.00%
2110603,0.122,0,0.00%
2110604,0.113,0,0.00%
2110605,0.069,0,0.00%
2110606,0.051,0,0.00%
2110607,0.104,0,0.00%
2110608,0.268,0,0.00%
2110609,0.141,0,0.00%
2110610,0.047,0,0.00%
2110611,0.077,0,0.00%
2110612,0.09,0,0.00%
2110613,0.089,0,0.00%
2110614,0.11,0,0.00%
2110615,0.171,0,0.00%
2110616,0.11,0,0.00%
2110617,0.166,0,0.00%
2110618,0.082,0,0.00%
2110619,0.061,0,0.00%
2110701,0.1,0,0.00%
2110702,0.097,0,0.00%
2110703,0.109,0,0.00%
2110704,0.106,0,0.00%
2110705,0.107,0,0.00%
2110706,0.158,0,0.00%
2110707,0.124,0,0.00%
2110708,0.068,0,0.00%
2110709,0.083,0,0.00%
2110710,0.046,0,0.00%
2110711,0.088,0,0.00%
2110712,0.1,0,0.00%
2110713,0.113,0,0.00%
2110714,0.11,0,0.00%
2110715,0.134,0,0.00%
2110716,0.11,0,0.00%
2110717,0.094,0,0.00%
2110718,0.075,0,0.00%
2110719,0.151,0,0.00%
2110720,0.073,0,0.00%
2110721,0.066,0,0.00%
2110723,0.075,0,0.00%
2110724,0.083,0,0.00%
2110725,0.2,0,0.00%
2110726,0.106,0,0.00%
2110727,0.158,0,0.00%
2110728,0.118,0,0.00%
2110729,0.08,0,0.00%
2110730,0.034,0,0.00%
2110731,0.157,0,0.00%
2110801,0.111,0,0.00%
2110802,0.08,0,0.00%
2110803,0.144,0,0.00%
2110804,0.092,0,0.00%
2110805,0.149,0,0.00%
2110806,0.121,0,0.00%
2110807,0.141,0,0.00%
2110808,0.166,0,0.00%
2110809,0.141,0,0.00%
2110810,0.104,0,0.00%
2110811,0.091,0,0.00%
2110812,0.073,0,0.00%
2110813,0.079,0,0.00%
2110814,0.096,0,0.00%
2110815,0.244,0,0.00%
2110816,0.091,0,0.00%
2110817,0.07,0,0.00%
2110818,0.087,0,0.00%
2110819,0.147,0,0.00%
2110820,0.24,0,0.00%
2110821,0.109,0,0.00%
2110822,0.144,0,0.00%
2110823,0.32,0,0.00%
2110824,0.17,0,0.00%
2110825,0.169,0,0.00%
2110826,0.094,0,0.00%
2110827,0.085,0,0.00%
2110828,0.092,0,0.00%
2110829,0.121,0,0.00%
2110830,0.079,0,0.00%
2110831,0.128,0,0.00%
2110832,0.155,0,0.00%
2110833,0.12,0,0.00%
2110834,0.087,0,0.00%
2110835,0.087,0,0.00%
2110836,0.081,0,0.00%
2110837,0.082,0,0.00%
2110838,0.16,0,0.00%
2110839,0.072,0,0.00%
2110840,0.073,0,0.00%
2110841,0.115,0,0.00%
2110842,0.237,0,0.00%
2110843,0.098,0,0.00%
2110844,0.099,0,0.00%
2110845,0.064,0,0.00%
2110846,0.119,0,0.00%
2110847,0.082,0,0.00%
2110848,0.13,0,0.00%
2110849,0.095,0,0.00%
2110850,0.093,0,0.00%
2110851,0.079,0,0.00%
2110852,0.05,0,0.00%
2110853,0.252,0,0.00%
2110854,0.084,0,0.00%
2110855,0.089,0,0.00%
2110856,0.044,0,0.00%
2110857,0.061,0,0.00%
2110858,0.092,0,0.00%
2110859,0.064,0,0.00%
2110860,0.245,0,0.00%
2110901,0.158,0,0.00%
2110902,0.103,0,0.00%
2110903,0.112,0,0.00%
2110904,0.114,0,0.00%
2110905,0.081,0,0.00%
2110906,0.119,0,0.00%
2110907,0.157,0,0.00%
2110908,0.076,0,0.00%
2110909,0.109,0,0.00%
2110910,0.104,0,0.00%
2110911,0.119,0,0.00%
2110912,0.115,0,0.00%
2110913,0.121,0,0.00%
2110914,0.116,0,0.00%
2110915,0.103,0,0.00%
2110916,0.147,0,0.00%
2110917,0.138,0,0.00%
2110918,0.159,0,0.00%
2110919,0.094,0,0.00%
2110920,0.116,0,0.00%
2110921,0.125,0,0.00%
2110922,0.154,0,0.00%
2110923,0.289,0,0.00%
2110924,0.129,0,0.00%
2111001,0.142,0,0.00%
2111002,0.157,0,0.00%
2111003,0.137,0,0.00%
2111004,0.066,0,0.00%
2111005,0.056,0,0.00%
2111006,0.135,0,0.00%
2111007,0.107,0,0.00%
2111008,0.132,0,0.00%
2111009,0.228,0,0.00%
2111010,0.182,0,0.00%
2111011,0.127,0,0.00%
2111012,0.18,0,0.00%
2111013,0.108,0,0.00%
2111014,0.128,0,0.00%
2111015,0.201,0,0.00%
2111016,0.121,0,0.00%
2111017,0.084,0,0.00%
2111018,0.079,0,0.00%
2111019,0.118,0,0.00%
2111020,0.202,0,0.00%
2111021,0.176,0,0.00%
2111022,0.083,0,0.00%
2111101,0.063,0,0.00%
2111102,0.099,0,0.00%
2111103,0.316,0,0.00%
2111104,0.136,0,0.00%
2111105,0.12,0,0.00%
2111106,0.085,0,0.00%
2111107,0.129,0,0.00%
2111108,0.112,0,0.00%
2111109,0.061,0,0.00%
2111110,0.113,0,0.00%
2111111,0.07,0,0.00%
2111112,0.119,0,0.00%
2111113,0.127,0,0.00%
2111114,0.125,0,0.00%
2111115,0.132,0,0.00%
2111116,0.054,0,0.00%
2111117,0.221,0,0.00%
2111118,0.133,0,0.00%
2111119,0.083,0,0.00%
2111120,0.058,0,0.00%
2111121,0.072,0,0.00%
2111122,0.069,0,0.00%
2111123,0.187,0,0.00%
2111124,0.125,0,0.00%
2111125,0.095,0,0.00%
2111126,0.125,0,0.00%
2111127,0.091,0,0.00%
2111128,0.129,0,0.00%
2111129,0.124,0,0.00%
2111130,0.128,0,0.00%
2111131,0.1,0,0.00%
2111132,0.117,0,0.00%
2111133,0.121,0,0.00%
2111134,0.088,0,0.00%
2111135,0.073,0,0.00%
2111136,0.247,0,0.00%
2111137,0.163,0,0.00%
2111138,0.117,0,0.00%
2111139,0.115,0,0.00%
2111140,0.123,0,0.00%
2111141,0.08,0,0.00%
2111142,0.073,0,0.00%
2111143,0.13,0,0.00%
2111144,0.081,0,0.00%
2111145,0.112,0,0.00%
2111146,0.102,0,0.00%
2111147,0.084,0,0.00%
2111148,0.186,0,0.00%
2111149,0.08,0,0.00%
2111150,0.088,0,0.00%
2111151,0.125,0,0.00%
2111152,0.075,0,0.00%
2111153,0.302,0,0.00%
2111201,0.256,0,0.00%
2111202,0.142,0,0.00%
2111203,0.119,0,0.00%
2111204,0.093,0,0.00%
2111205,0.119,0,0.00%
2111206,0.078,0,0.00%
2111207,0.112,0,0.00%
2111208,0.075,0,0.00%
2111209,0.088,0,0.00%
2111210,0.168,0,0.00%
2111211,0.083,0,0.00%
2111212,0.1,0,0.00%
2111213,0.086,0,0.00%
2111214,0.104,0,0.00%
2111215,0.099,0,0.00%
2111216,0.106,0,0.00%
2111217,0.082,0,0.00%
2111218,0.07,0,0.00%
2111219,0.12,0,0.00%
2111220,0.142,0,0.00%
2111221,0.226,0,0.00%
2111222,0.106,0,0.00%
2111223,0.095,0,0.00%
2111224,0.367,0,0.00%
2111225,0.205,0,0.00%
2111226,0.092,0,0.00%
2111227,0.093,0,0.00%
2111228,0.111,0,0.00%
2111229,0.12,0,0.00%
2111230,0.101,0,0.00%
2111231,0.052,0,0.00%
2111232,0.092,0,0.00%
2111233,0.095,0,0.00%
2111234,0.177,0,0.00%
2111235,0.11,0,0.00%
2111236,0.076,0,0.00%
2111237,0.083,0,0.00%
2111238,0.115,0,0.00%
2111239,0.102,0,0.00%
2111240,0.334,0,0.00%
2111241,0.068,0,0.00%
2111242,0.048,0,0.00%
2111301,0.493,0,0.00%
2111302,0.078,0,0.00%
2111303,0.16,0,0.00%
2111304,0.216,0,0.00%
2111305,0.247,0,0.00%
2111306,0.195,0,0.00%
2111307,0.333,0,0.00%
2111308,0.08,0,0.00%
2111309,0.086,0,0.00%
2111310,0.08,0,0.00%
2111311,0.11,0,0.00%
2111312,0.086,0,0.00%
2111313,0.109,0,0.00%
2111314,0.106,0,0.00%
2111315,0.069,0,0.00%
2111316,0.068,0,0.00%
2111317,0.069,0,0.00%
2111318,0.051,0,0.00%
2111319,0.076,0,0.00%
2111320,0.084,0,0.00%
2111321,0.06,0,0.00%
2111322,0.096,0,0.00%
2111323,0.098,0,0.00%
2111324,0.135,0,0.00%
2111325,0.097,0,0.00%
2111326,0.096,0,0.00%
2111327,0.121,0,0.00%
2111328,0.131,0,0.00%
2111329,0.108,0,0.00%
2111330,0.055,0,0.00%
2111331,0.076,0,0.00%
2111332,0.057,0,0.00%
2111401,0.073,0,0.00%
2111402,0.205,0,0.00%
2111403,0.107,0,0.00%
2111404,0.131,0,0.00%
2111405,0.116,0,0.00%
2111406,0.18,0,0.00%
2111407,0.16,0,0.00%
2111408,0.259,0,0.00%
2111409,0.15,0,0.00%
2111410,0.173,0,0.00%
2111411,0.106,0,0.00%
2111412,0.213,0,0.00%
2111413,0.202,0,0.00%
2111414,0.187,0,0.00%
2111415,0.346,0,0.00%
2111416,0.093,0,0.00%
2111417,0.109,0,0.00%
2111418,0.155,0,0.00%
2111419,0.108,0,0.00%
2111420,0.155,0,0.00%
2111421,0.154,0,0.00%
2111422,0.094,0,0.00%
2111423,0.1,0,0.00%
2111424,0.086,0,0.00%
2111425,0.172,0,0.00%
2111426,0.138,0,0.00%
2111427,0.181,0,0.00%
2111428,0.129,0,0.00%
2111429,0.088,0,0.00%
2111430,0.13,0,0.00%
2111431,0.147,0,0.00%
2111432,0.128,0,0.00%
2111433,0.188,0,0.00%
2111434,0.126,0,0.00%
2111435,0.183,0,0.00%
2111436,0.094,0,0.00%
2111437,0.145,0,0.00%
2111438,0.163,0,0.00%
2111439,0.12,0,0.00%
2111440,0.102,0,0.00%
2111441,0.124,0,0.00%
2111442,0.145,0,0.00%
2111443,0.205,0,0.00%
2111444,0.214,0,0.00%
2111445,0.095,0,0.00%
2111446,0.103,0,0.00%
2111447,0.129,0,0.00%
2111448,0.101,0,0.00%
2111449,0.201,0,0.00%
2111450,0.086,0,0.00%
2111451,0.108,0,0.00%
2111452,0.138,0,0.00%
2111453,0.159,0,0.00%
2111454,0.132,0,0.00%
2111455,0.058,0,0.00%
2111456,0.071,0,0.00%
2111457,0.144,0,0.00%
2111458,0.092,0,0.00%
2111459,0.2,0,0.00%
2111460,0.111,0,0.00%
2111461,0.121,0,0.00%
2111501,0.07,0,0.00%
2111502,0.064,0,0.00%
2111503,0.073,0,0.00%
2111504,0.066,0,0.00%
2111505,0.088,0,0.00%
2111506,0.014,0,0.00%
2111507,0.019,0,0.00%
2111508,0.104,0,0.00%
2111509,0.046,0,0.00%
2111510,0.059,0,0.00%
2111511,0.084,0,0.00%
2111512,0.128,0,0.00%
2111513,0.085,0,0.00%
2111514,0.053,0,0.00%
2111515,0.069,0,0.00%
2111516,0.167,0,0.00%
2111519,0.011,0,0.00%
2111520,0.019,0,0.00%
2111521,0.016,0,0.00%
2111522,0.039,0,0.00%
2111523,0.041,0,0.00%
2111524,0.18,0,0.00%
2111601,0.084,0,0.00%
2111602,0.109,0,0.00%
2111603,0.124,0,0.00%
2111604,0.117,0,0.00%
2111605,0.136,0,0.00%
2111606,0.094,0,0.00%
2111607,0.124,0,0.00%
2111608,0.164,0,0.00%
2111609,0.096,0,0.00%
2111610,0.217,0,0.00%
2111611,0.096,0,0.00%
2111612,0.118,0,0.00%
2111613,0.28,0,0.00%
2111614,0.116,0,0.00%
2111615,0.105,0,0.00%
2111616,0.15,0,0.00%
2111617,0.159,0,0.00%
2111618,0.09,0,0.00%
2111619,0.119,0,0.00%
2111620,0.095,0,0.00%
2111621,0.102,0,0.00%
2111622,0.125,0,0.00%
2111623,0.121,0,0.00%
2111624,0.272,0,0.00%
2111625,0.143,0,0.00%
2111626,0.121,0,0.00%
2111627,0.099,0,0.00%
2111628,0.107,0,0.00%
2111629,0.47,0,0.00%
2111630,0.067,0,0.00%
2111631,0.17,0,0.00%
2111632,0.063,0,0.00%
2112242,0.012,0,0.00%
2112801,0.045,0,0.00%
2112802,0.072,0,0.00%
2112803,0.195,0,0.00%
2112804,0.086,0,0.00%
2112805,0.077,0,0.00%
2112806,0.07,0,0.00%
