SA1,Area,Green Area
2111310,0.08,0
2111311,0.11,0
2111312,0.086,0
2111313,0.109,0
2111314,0.106,0
2111315,0.069,0
2111316,0.068,0
2111317,0.069,0
2111318,0.051,0
2111319,0.076,0
2111320,0.084,0
2111321,0.06,0
2111322,0.096,0
2111323,0.098,0
2111324,0.135,0
2111325,0.097,0
2111326,0.096,0
2111327,0.121,0
2111328,0.131,0
2111329,0.108,0
2111330,0.055,0
2111331,0.076,0
2111332,0.057,0
2111401,0.073,0
2111402,0.205,0
2111403,0.107,0
2111404,0.131,0
2111405,0.116,0
2111406,0.18,0
2111407,0.16,0
2111408,0.259,0
2111409,0.15,0
2111410,0.173,0
2111411,0.106,0
2111412,0.213,0
2111413,0.202,0
2111414,0.187,0
2111415,0.346,0
2111416,0.093,0
2111417,0.109,0
2111418,0.155,0
2111419,0.108,0
2111420,0.155,0
2111421,0.154,0
2111422,0.094,0
2111423,0.1,0
2111424,0.086,0
2111425,0.172,0
2111426,0.138,0
2111427,0.181,0
2111428,0.129,0
2111429,0.088,0
2111430,0.13,0
2111431,0.147,0
2111432,0.128,0
2111433,0.188,0
2111434,0.126,0
2111435,0.183,0
2111436,0.094,0
2111437,0.145,0
2111438,0.163,0
2111439,0.12,0
2111440,0.102,0
2111441,0.124,0
2111442,0.145,0
2111443,0.205,0
2111444,0.214,0
2111445,0.095,0
2111446,0.103,0
2111447,0.129,0
2111448,0.101,0
2111449,0.201,0
2111450,0.086,0
2111451,0.108,0
2111452,0.138,0
2111453,0.159,0
2111454,0.132,0
2111455,0.058,0
2111456,0.071,0
2111457,0.144,0
2111458,0.092,0
2111459,0.2,0
2111460,0.111,0
2111461,0.121,0
2111501,0.07,0
2111502,0.064,0
2111503,0.073,0
2111504,0.066,0
2111505,0.088,0
2111506,0.014,0
2111507,0.019,0
2111508,0.104,0
2111509,0.046,0
2111510,0.059,0
2111511,0.084,0
2111512,0.128,0
2111513,0.085,0
2111514,0.053,0
2111515,0.069,0
2111516,0.167,0
2111518,0.12,1.3138e-06
2111519,0.011,0
2111520,0.019,0
2111521,0.016,0
2111522,0.039,0
2111523,0.041,0
2111524,0.18,0
2111601,0.084,0
2111602,0.109,0
2111603,0.124,0
2111604,0.117,0
2111605,0.136,0
2111606,0.094,0
2111607,0.124,0
2111608,0.164,0
2111609,0.096,0
2111610,0.217,0
2111611,0.096,0
2111612,0.118,0
2111613,0.28,0
2111614,0.116,0
2111615,0.105,0
2111616,0.15,0
2111617,0.159,0
2111618,0.09,0
2111619,0.119,0
2111620,0.095,0
2111621,0.102,0
2111622,0.125,0
2111623,0.121,0
2111624,0.272,0
2111625,0.143,0
2111626,0.121,0
2111627,0.099,0
2111628,0.107,0
2111629,0.47,0
2111630,0.067,0
2111631,0.17,0
2111632,0.063,0
2111701,0.108,0.0188252902
2111702,0.053,0.0053414729
2111703,0.055,0.0046364469
2111704,0.054,0.0065906402
2111705,0.052,0.0066979077
2111706,0.125,0.0149871251
2111707,0.088,0.0077042069
2111708,0.124,0.0147936457
2111709,0.032,0.003046692
2111710,0.018,0.0007412451
2111711,0.044,0.0050045166
2111712,0.062,0.0077143239
2111713,0.06,0.0071251111
2111714,0.029,0.0038589797
2111715,0.068,0.0134274699
2111716,0.043,0.0059128105
2111717,0.036,0.0044957295
2111718,0.068,0.0079370547
2111719,0.013,0.0023190883
2111720,0.024,0.0023155382
2111721,0.013,0.0029275624
2111722,0.006,0.0014822347
2111723,0.012,0.0022393394
2111724,0.294,0.0973617767
2111725,0.064,0.0069991185
2111726,0.063,0.0065091428
2111727,0.062,0.0136083863
2111728,0.014,0.0011726373
2111729,0.017,0.0013042709
2111731,0.077,0.0074758605
2111733,0.013,0.000237511
2111734,0.025,0.0016807224
2111735,0.018,0.0010130891
2111736,0.029,0.0022652386
2111801,0.015,0.0008518537
2111802,0.025,0.0011610882
2111804,0.182,0.0087138135
2111805,0.013,0.0005211536
2111806,0.008,0.0005666886
2111807,0.008,0.0004312123
2111808,0.011,0.0007999699
2111809,0.476,0.0161120056
2111810,0.209,0.0057827969
2111811,0.292,0.0054969113
2111812,0.025,0.0008387406
2111813,0.695,0.0136784707
2111814,0.367,0.0012610678
2111815,0.086,0.0060965695
2111816,0.091,0.0045213331
2111901,0.041,0.0070280666
2111902,0.051,0.0097279238
2111903,0.081,0.0150612848
2111904,0.07,0.0126291031
2111905,0.06,0.0096765679
2111906,0.091,0.0176333081
2111907,0.06,0.0091009534
2111908,0.091,0.0111669302
2111909,0.015,0.001852871
2111910,0.31,0.0480730038
2111911,1.535,0.2070955166
2111912,0.046,0.0163759144
2111913,0.375,0.1692630619
2111914,0.083,0.0143410191
2111915,0.057,0.0088784063
2112001,1.748,0.1216266804
2112101,0.263,0.0146134592
2112102,0.091,0.0083998796
2112103,0.184,0.0249492168
2112104,0.128,0.0101808645
2112105,0.09,0.0132300654
2112106,0.133,0.0232557212
2112108,0.043,0.0069637993
2112109,0.082,0.0146957751
2112110,0.074,0.0106970015
2112111,0.034,0.0025623659
2112112,0.043,0.0131890277
2112113,0.093,0.0212029239
2112114,0.076,0.0126027309
2112115,0.098,0.0137712278
2112116,0.053,0.0074689125
2112118,0.067,0.0086601338
2112119,0.156,0.013190319
2112121,0.033,0.0033323835
2112122,0.068,0.0111003146
2112123,0.089,0.0218489109
2112124,0.058,0.0112274392
2112125,0.025,0.003037321
2112126,0.092,0.0098008613
2112127,0.031,0.0030472463
2112128,0.053,0.0085723847
2112129,0.037,0.0032846571
2112202,0.057,0.0056163374
2112203,0.016,0.001307207
2112204,0.014,0.0015533701
2112205,0.088,0.0085351084
2112206,0.199,0.0151795503
2112209,0.055,0.004100961
2112210,0.027,0.00239459
2112211,0.055,0.0071756994
2112212,0.165,0.0121168773
2112213,0.083,0.0076657079
2112214,0.083,0.0068105523
2112215,0.083,0.0119848841
2112216,0.084,0.0089778057
2112217,0.057,0.0052990225
2112218,0.165,0.0171426858
2112219,0.055,0.0020081148
2112221,0.028,0.0041561256
2112222,0.027,0.002097252
2112223,0.027,0.0020887115
2112224,0.11,0.0092905919
2112225,0.082,0.0066545366
2112229,0.055,0.0036021856
2112230,0.055,0.0038526653
2112231,0.083,0.0111895964
2112232,0.056,0.0051824793
2112233,0.008,0.0012663609
2112234,0.019,0.0026845479
2112235,0.008,0.0010025892
2112236,0.005,0.0004467506
2112237,0.03,0.004573689
2112238,0.031,0.0008048529
2112239,0.072,0.0058970215
2112240,0.012,0.0004580462
2112241,0.055,0.0062479555
2112242,0.012,0
2112243,0.08,0.0048448072
2112244,0.056,0.0047028968
2112245,0.015,0.000733454
2112246,0.039,0.0023721906
2112247,0.016,0.0003529956
2112248,0.135,0.0092962608
2112249,0.02,0.0016636662
2112302,0.093,0.0121975545
2112303,0.081,0.0076500023
2112304,0.138,0.0117768076
2112305,0.036,0.0075372463
2112306,0.068,0.0112757103
2112307,0.042,0.0089838575
2112308,0.11,0.0077740574
2112309,0.039,0.0140828319
2112310,0.016,0.0031869042
2112311,0.082,0.0143171925
2112312,0.096,0.0159691251
2112313,0.017,0.0005952014
2112314,0.091,0.0105177511
2112315,0.097,0.0356210796
2112316,0.122,0.009172938
2112317,0.247,0.0143857781
2112318,0.098,0.0072564303
2112319,0.058,0.014240651
2112320,0.272,0.0167876008
2112321,0.026,0.0092105049
2112322,0.017,0.0065971812
2112323,0.036,0.0070253068
2112324,0.366,0.0611537416
2112325,0.074,0.0203877272
2112326,0.042,0.0093887552
2112327,0.034,0.0026043606
2112328,0.064,0.0048128937
2112329,0.125,0.0068367432
2112330,0.062,0.0041933786
2112331,0.058,0.0093922491
2112332,0.138,0.0097338048
2112333,0.044,0.0043394237
2112334,0.115,0.0086033018
2112335,0.094,0.0171730941
2112336,0.048,0.0048659545
2112337,0.051,0.0100276696
2112338,0.039,0.0086187518
2112339,0.042,0.0032362789
2112340,0.046,0.0036831318
2112401,0.172,0.0246230406
2112402,0.066,0.0131233088
2112403,1.945,0.4954609729
2112404,0.057,0.008847338
2112406,0.053,0.0100062671
2112407,0.553,0.132182833
2112409,0.49,0.0850371914
2112410,0.064,0.0171265642
2112411,0.189,0.0257138555
2112412,0.071,0.0121386157
2112413,0.137,0.0219512751
2112414,0.129,0.0115816693
2112415,0.022,0.0023788371
2112416,0.039,0.0062228865
2112417,0.053,0.0142988374
2112418,0.1,0.0119420617
2112501,0.521,0.1487056531
2112502,0.067,0.0091428659
2112503,0.067,0.0113354985
2112504,0.036,0.0056593276
2112505,0.252,0.029844904
2112506,0.069,0.0157724293
2112507,0.058,0.0113200638
2112508,0.143,0.031510444
2112509,0.03,0.0024128595
2112510,0.069,0.0132970596
2112511,0.069,0.0114623215
2112512,0.066,0.0127252537
2112513,0.048,0.012616158
2112514,0.041,0.0076986007
2112602,0.042,0.0059895059
2112603,0.045,0.0033364111
2112604,0.013,0.0020831848
2112605,0.093,0.012611405
2112606,0.062,0.005063692
2112609,0.014,0.0007070141
2112610,0.112,0.0105328843
2112611,0.056,0.0077503427
2112612,0.126,0.0173926593
2112613,0.005,0.0004300593
2112614,0.004,0.00043499
2112615,0.003,2.94191e-05
2112616,0.004,0.0002633981
2112617,0.003,7.66277e-05
2112618,0.03,0.0026458205
2112619,0.043,0.0012248793
2112620,0.002,0.0001637573
2112622,0.471,0.0118999747
2112623,0.202,0.011764428
2112624,1.383,0.5229617397
2112625,0.01,0.0005026496
2112626,0.235,0.0103418734
2112627,0.01,0.0021008915
2112628,0.004,0.0001700146
2112629,0.074,0.0072498256
2112630,0.003,0.0001731567
2112631,0.008,0.0012166156
2112632,0.007,2.1e-09
2112633,0.016,0.0016721421
2112634,0.043,0.0022021719
2112635,0.021,0.0024375725
2112701,3.561,0.0266618051
2112702,2.782,0.1049483436
2112801,0.045,0
2112802,0.072,0
2112803,0.195,0
2112804,0.086,0
2112805,0.077,0
2112806,0.07,0
2112807,0.098,0
2112808,0.081,0
2112809,0.113,0
2112810,0.12,0
2112811,0.062,0
2112812,0.078,0
2112813,0.128,0
2112814,0.07,0
2112815,0.051,0
2112816,0.083,0
2112817,0.067,0
2112818,0.059,0
2112819,0.085,0
2112820,0.101,0
2112821,0.079,0
2112822,0.102,0
2112823,0.076,0
2112824,0.1,0
2112825,0.073,0
2112826,0.111,0
2112827,0.054,0
2112828,0.065,0
2112830,0.019,0
2112831,0.07,0
2112832,2.194,0
2112833,0.047,0
2112834,0.038,0
2112835,0.018,0
2112901,0.044,0
2112902,0.071,0
2112903,0.056,0
2112904,0.098,0
2112905,0.085,0
2112906,0.03,0
2112907,0.072,0
2112908,0.071,0
2112909,0.049,0
2112910,0.055,0
2112911,0.061,0
2112912,0.029,0
2112913,0.095,0
2112914,0.054,0
2112915,0.052,0
2112916,0.072,0
2112917,0.181,0
2112918,0.082,0
2112919,0.065,0
2112920,0.04,0
2112921,0.045,0
2112922,0.13,0
2112923,0.048,0
2112924,0.057,0
2112925,0.074,0
2112926,0.052,0
2112927,0.045,0
2112928,0.056,0
2112929,0.04,0
2112930,0.051,0
2112931,0.055,0
2112932,0.054,0
2112933,0.043,0
2112934,0.105,0
2112935,0.083,0
2112936,0.09,0
2112937,0.038,0
2112938,0.051,0
2112939,0.069,0
2112940,0.066,0
2113001,0.03,0
2113002,0.135,0
2113003,0.112,0
2113004,0.072,0
2113005,0.056,0
2113006,0.113,0
2113007,0.075,0
2113008,0.08,0
2113009,0.085,0
2113010,0.031,0
2113011,0.078,0
2113012,0.068,0
2113013,0.15,0
2113014,0.1,0
2113015,0.175,0
2113016,0.082,0
2113017,0.063,0
2113019,0.065,0
2113020,0.113,0
2113021,0.046,0
2113022,0.026,0
2113023,0.137,0
2113024,0.123,0
2113025,0.05,0
2113026,0.069,0
2113027,0.064,0
2113028,0.192,0
2113029,0.081,0
2113032,0.067,0
2113033,0.018,0
2113034,0.03,0
2113035,0.029,0
2113036,0.04,0
2113037,0.028,0
2113038,0.087,0
2113039,0.083,0
2113101,1.829,0.0005475304
2113102,5.201,0.1984416086
2113201,0.107,0
2113202,0.064,0
2113203,0.062,0
2113204,0.058,0
2113206,0.047,0
2113207,0.058,0
2113208,0.09,0
2113209,0.071,0
2113210,0.062,0
2113211,0.044,0
2113212,0.141,0
2113213,0.117,0
2113214,0.072,0
2113215,0.083,0
2113217,0.037,0
2113218,0.006,0
2113219,0.012,0
2113220,0.006,0
2113221,0.006,0
2113222,0.05,0
2113223,0.061,0
2113224,0.066,0
2113225,0.062,0
2113226,0.054,0
2113227,0.058,0
2113228,0.046,0
2113229,0.955,3.36256e-05
2113230,0.058,0
2113301,0.034,0
2113302,0.033,0
2113303,0.029,0
2113304,0.099,0
2113305,0.062,0
2113306,0.147,0
2113307,0.053,0
2113308,0.071,0
2113309,0.19,0
2113310,0.039,0
2113311,0.067,0
2113312,0.046,0
2113313,0.036,0
